order_id,customer_id,product,quantity,price,sales
1,3869,Tablet,3,23117,69351
2,19,Tablet,10,31266,312660
3,3702,Laptop,2,44029,88058
4,1783,Laptop,6,49763,298578
5,1993,Tablet,4,26679,106716
6,2586,Laptop,3,23343,70029
7,2410,Laptop,4,1377,5508
8,3460,Mobile,10,30605,306050
9,91,Tablet,6,46262,277572
10,4328,Watch,6,30380,182280
11,1681,Mobile,3,33445,100335
12,3550,Laptop,7,43174,302218
13,1924,Mobile,1,49614,49614
14,3996,Watch,1,25189,25189
15,799,Tablet,10,41420,414200
16,1761,Watch,10,25020,250200
17,1048,Watch,2,43563,87126
18,1693,Watch,10,7932,79320
19,2876,Laptop,4,41289,165156
20,1500,Tablet,9,2297,20673
21,2557,Laptop,8,43083,344664
22,530,Watch,2,48292,96584
23,3508,Laptop,10,24087,240870
24,1870,Laptop,6,35612,213672
25,3312,Mobile,7,38104,266728
26,3005,Mobile,9,41137,370233
27,653,Mobile,4,7889,31556
28,3020,Laptop,8,17070,136560
29,269,Tablet,9,12979,116811
30,4745,Tablet,8,33214,265712
31,633,Tablet,2,10038,20076
32,4160,Mobile,8,23676,189408
33,2271,Tablet,5,33851,169255
34,4042,Laptop,2,9738,19476
35,1627,Tablet,4,26048,104192
36,3788,Mobile,4,40999,163996
37,3898,Tablet,6,20458,122748
38,3062,Laptop,9,34783,313047
39,2459,Laptop,1,8484,8484
40,4452,Tablet,9,10951,98559
41,3868,Watch,6,15080,90480
42,1952,Mobile,5,10225,51125
43,1943,Watch,2,20188,40376
44,3204,Mobile,5,32839,164195
45,2208,Watch,1,5408,5408
46,563,Tablet,10,39575,395750
47,1509,Mobile,2,48590,97180
48,2721,Mobile,10,7527,75270
49,4294,Mobile,4,34847,139388
50,2954,Tablet,5,36427,182135
51,4306,Tablet,9,32558,293022
52,1032,Mobile,3,6913,20739
53,3110,Laptop,6,34310,205860
54,4305,Mobile,6,3595,21570
55,4033,Tablet,10,20391,203910
56,2743,Mobile,3,9535,28605
57,2453,Watch,7,14507,101549
58,3538,Mobile,8,28369,226952
59,1927,Watch,5,28094,140470
60,2518,Laptop,10,34971,349710
61,3488,Laptop,9,46466,418194
62,105,Tablet,7,25380,177660
63,4729,Mobile,4,953,3812
64,1218,Laptop,1,1754,1754
65,237,Laptop,10,34402,344020
66,825,Mobile,8,10113,80904
67,4380,Tablet,4,5854,23416
68,1547,Watch,7,41309,289163
69,2454,Tablet,7,16508,115556
70,4107,Tablet,10,47604,476040
71,3199,Tablet,5,3143,15715
72,4141,Tablet,3,42468,127404
73,4823,Mobile,9,38099,342891
74,4022,Tablet,6,16125,96750
75,4999,Laptop,7,49630,347410
76,1196,Tablet,4,14818,59272
77,4792,Tablet,3,22582,67746
78,4448,Mobile,7,23979,167853
79,2532,Laptop,2,28393,56786
80,1836,Tablet,2,11404,22808
81,4945,Tablet,2,22848,45696
82,2995,Laptop,7,18219,127533
83,59,Mobile,4,3285,13140
84,2749,Mobile,1,6615,6615
85,3906,Tablet,10,15802,158020
86,157,Tablet,1,44598,44598
87,3615,Tablet,5,40116,200580
88,3395,Tablet,5,48199,240995
89,1892,Laptop,5,27794,138970
90,2995,Laptop,8,24515,196120
91,15,Laptop,3,18574,55722
92,3585,Watch,6,42718,256308
93,2020,Watch,10,11063,110630
94,3954,Watch,6,27973,167838
95,4560,Watch,8,18869,150952
96,125,Mobile,2,38306,76612
97,3261,Mobile,6,16018,96108
98,4817,Laptop,9,13894,125046
99,92,Tablet,7,16574,116018
100,3662,Laptop,1,6568,6568
101,1209,Watch,4,1431,5724
102,3646,Mobile,1,39675,39675
103,3938,Tablet,10,47270,472700
104,134,Laptop,2,10676,21352
105,2566,Mobile,10,48196,481960
106,4229,Laptop,9,35252,317268
107,1840,Laptop,7,16938,118566
108,1215,Tablet,3,29909,89727
109,3213,Watch,1,34668,34668
110,3419,Tablet,10,20062,200620
111,2339,Tablet,2,10074,20148
112,1111,Laptop,9,31032,279288
113,3260,Mobile,8,25151,201208
114,3826,Watch,5,26071,130355
115,2437,Mobile,4,20062,80248
116,4658,Laptop,10,37389,373890
117,4626,Laptop,8,15713,125704
118,4645,Mobile,8,48142,385136
119,1615,Tablet,9,3325,29925
120,2072,Laptop,5,22352,111760
121,2420,Mobile,4,23527,94108
122,4820,Watch,3,18158,54474
123,2564,Tablet,7,13615,95305
124,2031,Tablet,5,3382,16910
125,1764,Watch,9,36507,328563
126,426,Mobile,7,45770,320390
127,2492,Watch,8,48689,389512
128,618,Laptop,1,38043,38043
129,1616,Mobile,1,2492,2492
130,1655,Laptop,2,26304,52608
